"X","name","ID","RDH12_100_vs_RDH12_Veh_p.val","RDH12_200_vs_RDH12_100_p.val","RDH12_200_vs_RDH12_Veh_p.val","RDH12_100_vs_RDH12_Veh_p.adj","RDH12_200_vs_RDH12_100_p.adj","RDH12_200_vs_RDH12_Veh_p.adj","RDH12_100_vs_RDH12_Veh_significant","RDH12_200_vs_RDH12_100_significant","RDH12_200_vs_RDH12_Veh_significant","significant","RDH12_100_vs_RDH12_Veh_ratio","RDH12_200_vs_RDH12_100_ratio","RDH12_200_vs_RDH12_Veh_ratio","RDH12_100_centered","RDH12_200_centered","RDH12_Veh_centered"
1,"LPC 18:1","522.355925 -> 184.07",0.0644096132884406,0.000247679529246562,3.21115982747254e-05,0.456616498809439,0.0611768437239008,0.00793156477385717,FALSE,FALSE,TRUE,TRUE,0.278,0.816,1.09,-0.179,0.637,-0.458
2,"PC 32:0","734.606325 -> 184.07",0.0118126396553709,0.0135025272300331,0.00021691966066513,0.295411163331805,0.176320480761419,0.0267895780921436,FALSE,FALSE,TRUE,TRUE,0.434,0.422,0.856,0.00399,0.426,-0.43
3,"PC O-32:0","720.590725 -> 184.07",0.450365762606811,0.023446590423534,0.00718891222124373,0.788938605417605,0.214492882763441,0.137700592123976,FALSE,FALSE,FALSE,TRUE,0.149,0.525,0.674,-0.125,0.4,-0.274
4,"[CE 16:0 +H]","625.592325 -> 369.2",0.0258757243063615,0.0871998086489602,0.455063391276528,0.375959053157135,0.331924641491377,0.729874400294172,FALSE,FALSE,FALSE,FALSE,0.478,-0.341,0.137,0.273,-0.0679,-0.205
5,"[CE 16:0 +NH4]","642.61887 -> 369.2",0.51224291481522,0.225346190803334,0.0808363973586554,0.805885350059614,0.54349191171041,0.404592016571622,FALSE,FALSE,FALSE,FALSE,-0.0602,-0.115,-0.176,0.0184,-0.097,0.0786
6,"[CE 16:1 +NH4]","640.60327 -> 369.2",0.252176712067176,0.148877376399209,0.725290778726918,0.611867171491131,0.431533852375133,0.84503218087523,FALSE,FALSE,FALSE,FALSE,0.146,-0.189,-0.0431,0.112,-0.0775,-0.0344
7,"[CE 18:1 +NH4]","668.63457 -> 369.2",0.54729474754137,0.23278680866017,0.525806999114236,0.817133330020833,0.54349191171041,0.778136405227607,FALSE,FALSE,FALSE,FALSE,0.121,-0.248,-0.127,0.123,-0.125,0.00224
8,"[CE 18:2 +NH4]","666.61887 -> 369.2",0.608588698926804,0.29256887810517,0.568811086236848,0.830931436321746,0.603161861338181,0.795958743979583,FALSE,FALSE,FALSE,FALSE,0.0396,-0.0838,-0.0442,0.0411,-0.0426,0.00152
9,"[CE 18:3 +Na]","669.55867 -> 369.2",0.752978492806477,0.702041589848444,0.490741738140047,0.881323911596184,0.870600307995817,0.766839595850298,FALSE,FALSE,FALSE,FALSE,-0.0458,-0.0558,-0.102,0.00332,-0.0525,0.0492
10,"[CE 20:1 +Na]","701.623625 -> 369.2",0.0490054378717502,0.285661456942413,0.272558861645021,0.456616498809439,0.598615443269928,0.570525752765425,FALSE,FALSE,FALSE,FALSE,0.43,-0.212,0.218,0.214,0.00211,-0.216
11,"[CE 22:6 +NH4]","714.61887 -> 369.2",0.401613763532785,0.269005010452094,0.770032667743147,0.750389776938437,0.58284418931287,0.869269581859822,FALSE,FALSE,FALSE,FALSE,0.0996,-0.134,-0.034,0.0777,-0.0559,-0.0219
12,"[CE 24:1 +Na]","757.68387 -> 369.2",0.169512763650637,0.521462500736203,0.425021098050403,0.529995602806422,0.71556243156579,0.696427989323174,FALSE,FALSE,FALSE,FALSE,0.429,-0.19,0.239,0.207,0.0161,-0.223
13,"[DG 38:1","668.56177 -> 369.26177",0.475372310055467,0.462007345827768,0.166922852021766,0.79957049672154,0.687444665177462,0.439607059470557,FALSE,FALSE,FALSE,FALSE,-0.079,-0.0815,-0.161,0.000833,-0.0807,0.0798
14,"[TG24:2]","484.36377 -> 323.222191",0.916417102198551,0.333484747991761,0.383959148403842,0.943145934346009,0.611554604405582,0.65859659483159,FALSE,FALSE,FALSE,FALSE,0.0263,-0.25,-0.224,0.0923,-0.158,0.0659
15,"[TG34:2] NL 20:0","624.52027 -> 295.190891",0.227140922159385,0.408542235952134,0.673878916410255,0.578595124419921,0.642738422166733,0.819941341642034,FALSE,FALSE,FALSE,FALSE,0.225,-0.15,0.075,0.125,-0.0249,-0.0999
16,"[TG38:0] NL 20:0","684.61417 -> 355.284791",0.40709404902733,0.729844473284108,0.252883162355827,0.750389776938437,0.871137058380044,0.557697688409726,FALSE,FALSE,FALSE,FALSE,0.457,0.187,0.643,0.09,0.277,-0.367
17,"[TG44:1]","766.69247 -> 577.519591",0.108752173015016,0.944641770018561,0.0974781735333702,0.456616498809439,0.976261578220019,0.404592016571622,FALSE,FALSE,FALSE,FALSE,-0.115,-0.00455,-0.119,-0.0368,-0.0413,0.0781
18,"[TG44:4] NL 20:0","760.64547 -> 431.316091",0.227221567079888,0.796394998019112,0.154124579836158,0.578595124419921,0.910692428290373,0.413790991516642,FALSE,FALSE,FALSE,FALSE,0.461,0.094,0.555,0.122,0.216,-0.339
19,"[TG44:5] NL 20:0","758.62987 -> 429.300491",0.313160187801975,0.386214587685772,0.0817079835335481,0.678513740237612,0.625213553545068,0.404592016571622,FALSE,FALSE,FALSE,FALSE,0.373,0.317,0.69,0.0185,0.336,-0.354
20,"[TG46:0] NL 16:0","796.73937 -> 523.472591",0.177802479681936,0.29303410267442,0.733377796709676,0.535575761968758,0.603161861338181,0.850192767403492,FALSE,FALSE,FALSE,FALSE,-0.794,0.604,-0.189,-0.466,0.138,0.328
21,"[TG48:7","810.75507 -> 537.488291",0.101207110425818,0.230608500508417,0.593560336084015,0.456616498809439,0.54349191171041,0.795958743979583,FALSE,FALSE,FALSE,FALSE,-0.894,0.626,-0.268,-0.507,0.119,0.387
22,"[TG50:8","836.77067 -> 563.503891",0.153055074617872,0.306151034705624,0.639586689438038,0.526711603170782,0.611554604405582,0.808760377132157,FALSE,FALSE,FALSE,FALSE,-0.661,0.458,-0.204,-0.373,0.0847,0.288
23,"[TG50:9","834.75507 -> 563.503941",0.103662741930577,0.285434493792594,0.50782203480419,0.456616498809439,0.598615443269928,0.774271867880463,FALSE,FALSE,FALSE,FALSE,0.228,-0.142,0.0861,0.124,-0.0187,-0.105
24,"CAR 20:1","454.389625 -> 85.1",0.89514926098513,0.322677486118417,0.2682309669533,0.925112416164549,0.611554604405582,0.566265374679189,FALSE,FALSE,FALSE,FALSE,0.0489,0.379,0.428,-0.11,0.269,-0.159
25,"CAR 22:0","484.436625 -> 85.1",0.419329282075868,0.733864814053271,0.263379084078979,0.761575975534848,0.871137058380044,0.566265374679189,FALSE,FALSE,FALSE,FALSE,0.177,0.0732,0.25,0.0346,0.108,-0.142
26,"Cer(d14:1/16:0)","482.457325 -> 208.3",0.00669675789402723,0.0132140670101825,0.65494623522754,0.275683199970788,0.176320480761419,0.811272098029371,FALSE,FALSE,FALSE,FALSE,0.438,-0.382,0.0557,0.273,-0.109,-0.164
27,"Cer(d14:1/20:0)","538.519925 -> 208.3",0.160367421484247,0.729375182260709,0.268218166601424,0.526711603170782,0.871137058380044,0.566265374679189,FALSE,FALSE,FALSE,FALSE,0.584,-0.135,0.449,0.24,0.105,-0.344
28,"Cer(d14:1/24:0(2OH))","610.577425 -> 208.3",0.106008552349231,0.336484548864898,0.446359411783628,0.456616498809439,0.611554604405582,0.720593298761805,FALSE,FALSE,FALSE,FALSE,0.405,-0.227,0.178,0.211,-0.0164,-0.194
29,"Cer(d14:2/16:0)","480.441625 -> 206.3",0.0116751176909221,0.0232454265593,0.66018498665548,0.295411163331805,0.214492882763441,0.811272098029371,FALSE,FALSE,FALSE,FALSE,0.659,-0.567,0.0922,0.408,-0.158,-0.25
30,"Cer(d14:2/20:0)","536.504225 -> 206.3",0.176904369444955,0.406684053345769,0.561223304184612,0.535575761968758,0.642738422166733,0.795958743979583,FALSE,FALSE,FALSE,FALSE,0.59,-0.349,0.241,0.313,-0.0358,-0.277
31,"Cer(d18:0/20:0(2OH))","612.593125 -> 266.3",0.109298170431518,0.19998273534409,0.695482373288924,0.456616498809439,0.514538912812398,0.830350505722736,FALSE,FALSE,FALSE,FALSE,0.804,-0.623,0.181,0.475,-0.147,-0.328
32,"Cer(d18:0/20:0)","596.598125 -> 266.3",0.213253992718085,0.163017535255376,0.858254018949048,0.568608759434092,0.462819898943424,0.921690185567021,FALSE,FALSE,FALSE,FALSE,0.268,-0.305,-0.0365,0.191,-0.114,-0.0772
33,"Cer(d18:1/16:0)","538.519925 -> 264.3",0.0790602303755549,0.465029718843674,0.0241231888290854,0.456616498809439,0.687798446433458,0.220682505214226,FALSE,FALSE,FALSE,FALSE,0.263,0.1,0.363,0.0542,0.154,-0.209
34,"Cer(d18:1/18:0)","566.551225 -> 264.3",0.193528269683107,0.792579353659961,0.129379206145864,0.550139008391745,0.910544652809351,0.413790991516642,FALSE,FALSE,FALSE,FALSE,0.12,0.023,0.143,0.0323,0.0553,-0.0876
35,"Cer(d18:1/20:0(OH)","610.577425 -> 264.3",0.481316066896976,0.647142785031088,0.799109103825067,0.79957049672154,0.82393952527154,0.878235745722655,FALSE,FALSE,FALSE,FALSE,0.174,-0.112,0.0619,0.0952,-0.0167,-0.0785
36,"Cer(d18:1/22:0)","622.613825 -> 264.3",0.650567984140354,0.734714802322004,0.435310721379097,0.83423396069643,0.871137058380044,0.707379922241033,FALSE,FALSE,FALSE,FALSE,0.07,0.0522,0.122,0.00593,0.0581,-0.064
37,"Cer(d18:1/24:0)","650.645125 -> 264.3",0.731260020287134,0.0349206998352662,0.0202190043270009,0.870275147264428,0.224506884330484,0.20041617632611,FALSE,FALSE,FALSE,FALSE,0.0393,0.281,0.32,-0.0806,0.2,-0.12
