"[Select]","Gene Set Category","Gene Set ID","Gene Set Name","Gene Set Size","Count Overlap Gene","Percentage Genes in Gene Set","Fold Enrichment","log2 fold","P value","P value calc log_10","Bonferroni","Benjamini & Hochberg","Benjamini & Yekutieli","Overlaping Gene Symbols","Overlapping Gene IDs"
"","Direct GO Cellular Component","GO:0005856","cytoskeleton","839","139","24.821","2.3813","1.252","2.32310125913395e-24","23.6339318597974","5.80775314783489e-21","5.80775314783489e-21","4.879361541636e-20","NEDD1,ADD2,WIPF2,CTTN,CEP170B,PPP1R12A,SVIL,RITA1,DYNC1LI1,PDE4DIP,NDE1,SORBS3,MTUS1,CEP250,WNK1,COBL,PLEKHG3,NAV1,CCSAP,CCNB1,SPICE1,GOLGA2,PAK1,NDEL1,LIMA1,KIAA0586,MAP7D1,SEPTIN9,SHROOM3,TPX2,MAP9,SPECC1L,RAI14,LUZP1,CEP41,ABL2,PLEKHA7,DYNC1I1,CEP112,ABLIM1,SPAST,PPP1R9B,RTRAF,CEP170,KIZ,KATNA1,KLC2,MAST2,TEDC2,CBY1,HOOK2,LATS1,SLAIN1,APC,KLC3,DMTN,CCDC66,NUMA1,WIPF1,FBF1,NUSAP1,CEP135,UACA,TACC2,WDR35,CEP164,KATNBL1,TTC28,AUTS2,CCDC120,SHROOM1,CENPF,CAMSAP1,HMMR,PTK2,FAM110A,GTSE1,DLGAP5,CCDC88A,RALBP1,NCKAP5L,LIMCH1,ATAT1,CDC42EP4,TRAF3IP1,EVI5,CNTROB,ADD1,CEP128,EML1,SKA1,MAP1A,SPTBN1,PSRC1,TRIP11,PPP1R12C,WASF2,CTTNBP2NL,CDC42EP1,RAPH1,MPRIP,CCDC92,LMOD1,SH3KBP1,TNKS1BP1,CEP20,CALD1,PROSER3,FLNC,MZT2A,ODF2,HOOK1,CROCC,CARMIL1,SORBS1,SLAIN2,MAPRE3,PEAK1,ARHGEF18,ERC2,CLIP2,BOD1,ABL1,MPLKIP,CNN2,LCA5,KLC1,SMTN,LZTS2,DTL,CEP350,ENAH,TPPP,CEP85,ERC1,MZT2B,CD2AP,LATS2,CCDC6","7723,244,30923,3338,20362,7618,11480,25925,18745,15580,17619,30907,29789,1859,14540,22199,20364,15989,29578,1579,25083,4425,8590,17620,24636,19960,25514,7323,30422,1249,26118,29022,14873,14985,12370,77,27049,2963,28514,78,11233,9298,23169,28920,15865,6216,20716,19035,25849,1307,19885,6514,26387,583,20717,3382,27709,8059,12736,24674,18538,29086,15947,11523,29250,29182,26199,29179,14262,28910,24084,1857,19946,5012,9611,16188,13698,16864,25523,9841,29321,29191,21186,17147,17861,3501,29616,243,20359,3330,28109,6835,11275,24472,12305,14947,12733,25330,17014,14436,30321,29563,6647,13867,19081,26435,1441,25204,3756,33187,8114,19884,21299,21581,14565,29282,6892,29431,17090,31922,2586,25114,76,16002,2156,31923,6387,11126,29381,30288,24238,18271,24164,25309,17072,25886,14258,6515,18782"
"","SLIM2 GO CC","GO:0005856","cytoskeleton","1321","179","31.964","1.9476","0.962","2.51904366483945e-21","20.5987643044215","6.29760916209862e-18","3.14880458104931e-18","2.64545609701524e-17","KLC1,MAP1A,SLAIN1,PDE4DIP,ABLIM1,HOOK2,IFT74,WNK1,LCA5,DYNC1LI1,CGN,CNTROB,NUMA1,PLEKHG3,TTK,UBN1,RNF4,LIMCH1,ABL2,SEPTIN9,AUTS2,CBY1,NAV1,APC,PHLDB2,NDC80,DTL,TTC28,RITA1,MZT2B,CCDC88C,EML1,TEDC2,TRIP11,CEP128,PLS1,UACA,LATS1,CCDC66,KIAA1671,LIMA1,SPECC1L,SMTN,KIAA0586,LIMD2,MAPRE3,RTRAF,DMTN,PAK1,CNN2,ERC1,SLAIN2,MAP7D1,PLEKHA7,MZT2A,RPAP3,CCDC120,MAST2,HMMR,RAB11FIP5,TNKS1BP1,KATNA1,PPP1R9B,AMOT,DIAPH3,MPRIP,CEP250,SYNJ1,CLIP2,CLK3,PCLAF,ITSN2,FAM110A,MAP9,CEP112,CTTN,FLNC,NEDD1,CROCC,ERC2,LUZP1,CEP20,SS18,NEBL,ADD1,OPHN1,ODF2,AHNAK,CCDC88A,SVIL,GOLGA2,CEP170B,CCNB1,SH3PXD2A,TACC2,KIZ,NUSAP1,BOD1,NDEL1,DIAPH2,CCDC92,SORBS3,SPICE1,COBL,ENAH,DLGAP5,SPTBN1,CFAP36,PPP1R12C,PDLIM3,WIPF1,CEP350,GTSE1,KATNBL1,BORCS5,PTK2,CYBA,TRAF3IP1,NCKAP5L,MTUS1,PROSER3,DYNC1I1,CCDC50,CEP41,ARHGEF18,SPAST,LATS2,WIPF2,TPX2,SHROOM1,ABL1,LMOD1,CDC42EP4,CEP164,KLC2,PEA15,DTNA,BCAS2,HOOK1,LZTS2,ATAT1,GEN1,ITSN1,CEP85,CCDC6,CCSAP,KLC3,SH3KBP1,EVI5,SKA1,JPT1,RAI14,ADD2,PAWR,CEP135,PEAK1,CAMSAP1,NCOR1,RALBP1,PPP1R12A,CALD1,SORBS1,WDR35,NDE1,MPLKIP,PSRC1,INF2,FBF1,CDC42EP1,CENPF,CD2AP,RAPH1,TPPP,SHROOM3,BRCA1,CTTNBP2NL,CARMIL1,WASF2,CEP170","6387,6835,26387,15580,78,19885,21424,14540,31923,18745,17429,29616,8059,20364,12401,12506,10067,29191,77,7323,14262,1307,15989,583,29573,16909,30288,29179,25925,25886,19967,3330,25849,12305,20359,9090,15947,6514,27709,29345,24636,29022,11126,19960,28142,6892,23169,3382,8590,2156,17072,29282,25514,27049,33187,26151,28910,19035,5012,24845,19081,6216,9298,17810,15480,30321,1859,11503,2586,2071,28961,6184,16188,26118,28514,3338,3756,7723,21299,31922,14985,26435,11340,16932,243,8148,8114,347,25523,11480,4425,20362,1579,23664,11523,15865,18538,25114,17620,2877,29563,30907,25083,22199,18271,16864,11275,30540,14947,20767,12736,24238,13698,26199,17950,9611,2577,17861,29321,29789,25204,2963,18111,12370,17090,11233,6515,30923,1249,24084,76,6647,17147,29182,20716,8822,3057,975,19884,29381,21186,26881,6183,25309,18782,29578,20717,13867,3501,28109,14569,14873,244,8614,29086,29431,19946,7672,9841,7618,1441,14565,29250,17619,16002,24472,23791,24674,17014,1857,14258,14436,24164,30422,1100,25330,21581,12733,28920"
"","SLIM2 GO BP","GO:0007010","cytoskeleton organization","859","131","23.393","2.192","1.132","1.60781220896708e-19","18.7937646778339","4.0195305224177e-16","1.33984350747257e-16","1.12566438616791e-15","RNF4,NCKAP5L,NEBL,SORBS1,SHROOM3,KATNA1,CNN2,CROCC,EPS8,CAMSAP1,COBL,LIMD2,DIAPH3,WIPF1,CCDC66,LMOD1,CEP85,HOOK1,CEP20,SETD2,DYNC1LI1,MAST2,CCDC88A,ADD1,TRAF3IP1,PAK1,KATNBL1,AUTS2,CCDC120,TPPP,CRACD,EML1,SH3D19,WIPF3,CDC42EP4,SKA1,ABL2,LZTS2,CGN,BRCA1,CTTN,CNTROB,WASF2,PAWR,INF2,CCDC88C,NDEL1,BCAS2,TACC2,CLIP2,PSRC1,ZBED3,NUMA1,PALM2AKAP2,KIZ,ABLIM1,PCLAF,FLNC,AGFG1,ARHGEF18,AMOT,ENAH,SRGAP2,SORBS3,MAP9,SH3KBP1,SLAIN1,CEP250,CD2AP,SHROOM1,NUSAP1,MAP1A,ADD2,ATAT1,SPTBN1,CCSAP,PDLIM3,APC,NDC80,GOLGA2,TTK,BRWD3,PTK2,NAV1,LUZP1,RUFY3,SPAST,PHLDB2,PPP1R12A,DMTN,SLAIN2,SEPTIN9,PLS1,PHACTR4,SVIL,SAPCD2,FCHSD2,FAM110A,HOOK2,CEP350,NEDD1,PDE4DIP,GEN1,SS18,CCDC6,LIMCH1,ABL1,PPP1R9B,OPHN1,LIMA1,SPECC1L,AMOTL1,CARMIL1,CCNB1,LARP4,ATF2,CDC42EP1,MAPRE3,ODF2,LATS1,MAP7D1,SPICE1,DIAPH2,CEP135,PHACTR2,CALD1,MRTFA,TPX2,NDE1,NCOR1,DLGAP5","10067,29321,16932,14565,30422,6216,2156,21299,3420,19946,22199,28142,15480,12736,27709,6647,25309,19884,26435,18420,18745,19035,25523,243,17861,8590,26199,14262,28910,24164,29219,3330,30418,22004,17147,28109,77,29381,17429,1100,3338,29616,12733,8614,23791,19967,17620,975,11523,2586,24472,20711,8059,33529,15865,78,28961,3756,5175,17090,17810,18271,19751,30907,26118,13867,26387,1859,14258,24084,18538,6835,244,21186,11275,29578,20767,583,16909,4425,12401,17342,9611,15989,14985,30285,11233,29573,7618,3382,29282,7323,9090,25793,11480,28055,29114,16188,19885,24238,7723,15580,26881,11340,18782,29191,76,9298,8148,24636,29022,17811,21581,1579,24320,784,17014,6892,8114,6514,25514,25083,2877,29086,20956,1441,14334,1249,17619,7672,16864"
"","Direct GO Cellular Component","GO:0005813","centrosome","460","73","13.036","2.281","1.19","8.80593180395736e-12","11.0552246821833","2.20148295098934e-8","5.50370737747335e-9","4.62391865330452e-8","ODF2,CEP135,PLEKHA7,TACC2,GEN1,TRAF3IP1,NDE1,CEP85,FBF1,CCNB1,SPAST,SPICE1,CEP250,ITSN2,KIZ,CCDC92,CNTROB,KIAA0586,PPP1R12A,LATS1,CCSAP,BCAS2,SKA1,TTC28,DTL,SLAIN2,LZTS2,PAK1,CROCC,CEP128,SORBS1,CCDC88C,LATS2,MAP7D1,MZT2B,BOD1,CENPF,LUZP1,LCA5,CEP164,DYNC1LI1,MTUS1,NDEL1,NEDD1,CEP350,NUMA1,PDE4DIP,MPLKIP,NDC80,CCDC66,CBY1,RTRAF,NCKAP5L,RITA1,APC,PTK2,PCLAF,PROSER3,KATNA1,MZT2A,HOOK2,CCDC88A,IFT74,CEP41,HMMR,EVI5,CEP20,CEP170,CEP112,ERC1,HOOK1,WDR35,FAM110A","8114,29086,27049,11523,26881,17861,17619,25309,24674,1579,11233,25083,1859,6184,15865,29563,29616,19960,7618,6514,29578,975,28109,29179,30288,29282,29381,8590,21299,20359,14565,19967,6515,25514,25886,25114,1857,14985,31923,29182,18745,29789,17620,7723,24238,8059,15580,16002,16909,27709,1307,23169,29321,25925,583,9611,28961,25204,6216,33187,19885,25523,21424,12370,5012,3501,26435,28920,28514,17072,19884,29250,16188"
"","SLIM2 GO CC","GO:0005815","microtubule organizing center","611","87","15.536","2.0466","1.033","3.08675612568219e-11","10.5104976813227","7.71689031420548e-8","1.5433780628411e-8","1.29666316255865e-7","TTC28,RAB11FIP5,MAP7D1,NEDD1,CCDC92,CCNB1,DIAPH3,CEP135,LUZP1,PROSER3,UBN1,NDC80,CEP350,ITSN2,WDR35,SLAIN2,CCDC50,TPPP,PPP1R12A,BRCA1,RITA1,CCDC88C,KATNA1,ERC1,DTL,CEP41,MZT2B,SKA1,NDE1,SPAST,ODF2,PLEKHA7,DLGAP5,LATS2,TRAF3IP1,KIZ,CEP20,FAM110A,LATS1,APC,PCLAF,CROCC,TEDC2,CEP112,TACC2,CEP170,DYNC1LI1,RPAP3,NCKAP5L,SPICE1,MAPRE3,NUMA1,BOD1,MZT2A,CEP164,CBY1,RTRAF,CNTROB,IFT74,CCDC66,NDEL1,EVI5,PTK2,CEP128,CD2AP,BCAS2,KIAA0586,HOOK2,CCDC88A,MTUS1,CCSAP,PDE4DIP,HMMR,CCDC120,LZTS2,GEN1,SORBS1,CEP250,HOOK1,FBF1,CEP85,LCA5,SPECC1L,PAK1,CENPF,MPLKIP,KATNBL1","29179,24845,25514,7723,29563,1579,15480,29086,14985,25204,12506,16909,24238,6184,29250,29282,18111,24164,7618,1100,25925,19967,6216,17072,30288,12370,25886,28109,17619,11233,8114,27049,16864,6515,17861,15865,26435,16188,6514,583,28961,21299,25849,28514,11523,28920,18745,26151,29321,25083,6892,8059,25114,33187,29182,1307,23169,29616,21424,27709,17620,3501,9611,20359,14258,975,19960,19885,25523,29789,29578,15580,5012,28910,29381,26881,14565,1859,19884,24674,25309,31923,29022,8590,1857,16002,26199"
"","Direct GO Cellular Component","GO:0005874","microtubule","230","40","7.143","2.4997","1.322","4.73643298369791e-8","7.32454860319487","0.000118410824592448","0.0000197351374320746","0.000165804000538253","CEP170,NUSAP1,MAP9,CAMSAP1,KLC1,ODF2,KATNA1,NDE1,LZTS2,CCDC66,LUZP1,HOOK2,NCKAP5L,SHROOM1,EML1,SEPTIN9,HOOK1,ATAT1,MAP1A,SKA1,SPAST,MAPRE3,MTUS1,NAV1,APC,SYNJ1,DYNC1LI1,KLC2,KLC3,GOLGA2,NUMA1,TPPP,GTSE1,NDEL1,CEP170B,CLIP2,TPX2,SHROOM3,CCSAP,DYNC1I1","28920,18538,26118,19946,6387,8114,6216,17619,29381,27709,14985,19885,29321,24084,3330,7323,19884,21186,6835,28109,11233,6892,29789,15989,583,11503,18745,20716,20717,4425,8059,24164,13698,17620,20362,2586,1249,30422,29578,2963"
"","Direct GO Cellular Component","GO:0001725","stress fiber","57","17","3.036","4.2867","2.1","1.67458434338804e-7","6.77609297356721","0.000418646085847011","0.0000547281951825283","0.000459796833679696","SORBS1,AMOT,CALD1,RAI14,ABLIM1,LUZP1,PPP1R12C,SEPTIN9,CNN2,PPP1R12A,PDLIM3,NEBL,CTTNBP2NL,LIMCH1,CYBA,PTK2,LIMA1","14565,17810,1441,14873,78,14985,14947,7323,2156,7618,20767,16932,25330,29191,2577,9611,24636"
"","Direct GO Biological Processes","GO:0051301","cell division","326","49","8.75","2.1604","1.111","1.7513022458409e-7","6.75663889539385","0.000437825561460226","0.0000547281951825283","0.000459796833679696","SPAST,KATNA1,CD2AP,CDT1,CCSAP,CCNT1,PTTG1,MAPRE3,DYNC1LI1,SAPCD2,SGO2,CKS1B,SKA1,NUMA1,SEPTIN9,TTC28,NDE1,CNTROB,EVI5,ZWINT,LATS2,LZTS2,MPLKIP,CDC25C,NDC80,TPX2,NUSAP1,BOD1,SPICE1,CKS2,CCDC66,RBBP8,TPPP,SPECC1L,MAP9,NEDD1,CCNB1,LATS1,CEP164,UBE2S,PSRC1,SPC24,CENPF,ARPP19,ANKLE2,PIMREG,CDCA5,SDE2,GOLGA2","11233,6216,14258,24576,29578,1599,9690,6892,18745,28055,30812,19083,28109,8059,7323,29179,17619,29616,3501,13195,6515,29381,16002,1727,16909,1249,18538,25114,25083,2000,27709,9891,24164,29022,26118,7723,1579,6514,29182,17895,24472,26913,1857,16967,29101,25483,14626,26643,4425"
"","Direct GO Biological Processes","GO:0051017","actin filament bundle assembly","25","11","1.964","6.3242","2.661","3.04722639059613e-7","6.51609527911036","0.000761806597649031","0.000084645177516559","0.000711143213814486","ADD2,DIAPH3,EPS8,LIMA1,CALD1,SHROOM1,PAWR,ADD1,LIMD2,DMTN,PLS1","244,15480,3420,24636,1441,24084,8614,243,28142,3382,9090"
"","Direct GO Cellular Component","GO:0005814","centriole","97","22","3.929","3.2599","1.705","5.58536925888932e-7","6.25294810960355","0.00139634231472233","0.000139634231472233","0.00117313164247607","CEP170,FBF1,SPICE1,ODF2,CBY1,CNTROB,KIAA0586,TEDC2,CCSAP,CEP250,CCDC120,CEP135,CCDC88A,NEDD1,CEP350,CCDC92,CEP128,CEP164,CEP41,CROCC,CEP85,CEP20","28920,24674,25083,8114,1307,29616,19960,25849,29578,1859,28910,29086,25523,7723,24238,29563,20359,29182,12370,21299,25309,26435"
